assetCode,windowTimestamp,Open,High,Low,Last
Cc1,2018-01-12T01:00:00.000000000Z,348.75,349.0,348.0,348.75
Cc1,2018-01-12T02:00:00.000000000Z,348.75,348.75,348.5,348.75
Cc1,2018-01-12T03:00:00.000000000Z,348.75,348.75,348.5,348.75
Cc1,2018-01-12T04:00:00.000000000Z,348.5,349.0,348.5,348.75
Cc1,2018-01-12T05:00:00.000000000Z,348.75,348.75,348.5,348.75
Cc1,2018-01-12T06:00:00.000000000Z,348.75,348.75,348.5,348.75
Cc1,2018-01-12T07:00:00.000000000Z,348.75,349.25,348.5,349.25
Cc1,2018-01-12T08:00:00.000000000Z,349.25,349.5,349.0,349.25
Cc1,2018-01-12T09:00:00.000000000Z,349.0,349.5,348.75,349.5
Cc1,2018-01-12T10:00:00.000000000Z,349.5,349.75,349.25,349.5
Cc1,2018-01-12T11:00:00.000000000Z,349.5,349.5,349.25,349.25
Cc1,2018-01-12T12:00:00.000000000Z,349.5,349.5,349.25,349.25
Cc1,2018-01-12T13:00:00.000000000Z,349.25,349.75,349.25,349.25
Cc1,2018-01-12T14:00:00.000000000Z,349.25,349.75,348.75,349.25
Cc1,2018-01-12T15:00:00.000000000Z,349.25,349.75,348.75,349.0
Cc1,2018-01-12T16:00:00.000000000Z,349.0,349.5,348.25,349.0
Cc1,2018-01-12T17:00:00.000000000Z,349.0,350.0,346.0,346.5
Cc1,2018-01-12T18:00:00.000000000Z,346.5,346.5,345.5,346.25
Cc1,2018-01-12T19:00:00.000000000Z,346.25,347.5,345.75,347.25
Cc1,2018-01-16T01:00:00.000000000Z,347.25,349.25,347.0,348.5
Cc1,2018-01-16T02:00:00.000000000Z,348.25,348.75,348.0,348.0
Cc1,2018-01-16T03:00:00.000000000Z,348.0,348.25,347.75,347.75
Cc1,2018-01-16T04:00:00.000000000Z,347.75,348.0,347.5,347.75
Cc1,2018-01-16T05:00:00.000000000Z,347.5,348.0,347.5,347.75
Cc1,2018-01-16T06:00:00.000000000Z,347.75,348.0,347.75,348.0
Cc1,2018-01-16T07:00:00.000000000Z,348.0,348.0,347.75,347.75
Cc1,2018-01-16T08:00:00.000000000Z,348.0,348.0,347.5,347.75
Cc1,2018-01-16T09:00:00.000000000Z,347.5,347.75,347.25,347.75
Cc1,2018-01-16T10:00:00.000000000Z,347.75,347.75,347.5,347.75
Cc1,2018-01-16T11:00:00.000000000Z,347.75,347.75,347.5,347.5
Cc1,2018-01-16T12:00:00.000000000Z,347.75,348.5,347.5,348.25
Cc1,2018-01-16T13:00:00.000000000Z,348.25,348.5,348.0,348.25
Cc1,2018-01-16T14:00:00.000000000Z,348.0,348.75,346.25,346.5
Cc1,2018-01-16T15:00:00.000000000Z,346.5,347.0,346.25,346.75
Cc1,2018-01-16T16:00:00.000000000Z,346.75,346.75,346.0,346.25
Cc1,2018-01-16T17:00:00.000000000Z,346.25,347.0,346.0,346.75
Cc1,2018-01-16T18:00:00.000000000Z,346.5,347.5,346.5,347.25
Cc1,2018-01-16T19:00:00.000000000Z,347.25,349.0,347.25,348.5
Cc1,2018-01-17T01:00:00.000000000Z,348.5,349.0,348.25,348.75
Cc1,2018-01-17T02:00:00.000000000Z,348.75,348.75,348.5,348.5
Cc1,2018-01-17T03:00:00.000000000Z,348.75,348.75,348.5,348.75
