windowTimestamp,assetCode,Open,High,Low,Last
2018/01/17,Cc1,348.5,353.25,348.25,352.25
2018/01/18,Cc1,352.5,354.0,350.5,351.25
2018/01/19,Cc1,351.5,354.0,351.25,352.5
