#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
Cc1,CH8,Market Price,2018-01-09T15:00:00.000000000Z,-6,Intraday 1Hour,348.5,348.75,348.25,348.5
Cc1,CH8,Market Price,2018-01-09T16:00:00.000000000Z,-6,Intraday 1Hour,348.5,350.0,348.5,349.5
Cc1,CH8,Market Price,2018-01-09T17:00:00.000000000Z,-6,Intraday 1Hour,349.75,350.0,349.0,349.0
Cc1,CH8,Market Price,2018-01-09T18:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.5,349.0,349.0
Cc1,CH8,Market Price,2018-01-09T19:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.5,348.5,348.75
Cc1,CH8,Market Price,2018-01-10T01:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.5,349.0
Cc1,CH8,Market Price,2018-01-10T02:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-10T03:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.75,348.75
Cc1,CH8,Market Price,2018-01-10T04:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-10T05:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.0,348.75,348.75
Cc1,CH8,Market Price,2018-01-10T06:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.5,349.0,349.25
Cc1,CH8,Market Price,2018-01-10T07:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,348.75,349.0
Cc1,CH8,Market Price,2018-01-10T08:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.25,348.75,349.0
Cc1,CH8,Market Price,2018-01-10T09:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.25,348.75,349.25
Cc1,CH8,Market Price,2018-01-10T10:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,348.75,349.5
Cc1,CH8,Market Price,2018-01-10T11:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,349.25,349.5
Cc1,CH8,Market Price,2018-01-10T12:00:00.000000000Z,-6,Intraday 1Hour,349.75,349.75,349.25,349.5
Cc1,CH8,Market Price,2018-01-10T13:00:00.000000000Z,-6,Intraday 1Hour,349.5,350.0,349.25,349.75
Cc1,CH8,Market Price,2018-01-10T14:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,348.25,348.5
