#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
Cc1,CH5,Market Price,2014-12-31T15:00:00.000000000Z,-6,Intraday 1Hour,404.75,406.5,404.0,404.75
Cc1,CH5,Market Price,2014-12-31T16:00:00.000000000Z,-6,Intraday 1Hour,404.75,404.75,402.0,402.25
Cc1,CH5,Market Price,2014-12-31T17:00:00.000000000Z,-6,Intraday 1Hour,402.5,402.75,401.0,401.0
Cc1,CH5,Market Price,2014-12-31T18:00:00.000000000Z,-6,Intraday 1Hour,401.25,401.25,396.5,396.5
Cc1,CH5,Market Price,2014-12-31T19:00:00.000000000Z,-6,Intraday 1Hour,396.5,398.5,396.0,397.0
Cc1,CH5,Market Price,2015-01-02T14:00:00.000000000Z,-6,Intraday 1Hour,396.25,398.5,391.75,394.0
Cc1,CH5,Market Price,2015-01-02T15:00:00.000000000Z,-6,Intraday 1Hour,393.75,394.25,392.25,393.5
Cc1,CH5,Market Price,2015-01-02T16:00:00.000000000Z,-6,Intraday 1Hour,393.5,393.75,392.25,392.5
Cc1,CH5,Market Price,2015-01-02T17:00:00.000000000Z,-6,Intraday 1Hour,392.75,393.5,391.5,392.5
Cc1,CH5,Market Price,2015-01-02T18:00:00.000000000Z,-6,Intraday 1Hour,392.25,396.0,392.0,395.5
Cc1,CH5,Market Price,2015-01-02T19:00:00.000000000Z,-6,Intraday 1Hour,395.5,396.5,394.75,395.75
Cc1,CH5,Market Price,2015-01-02T20:00:00.000000000Z,-6,Intraday 1Hour,396.0,396.0,396.0,396.0
Cc1,CH5,Market Price,2015-01-02T22:00:00.000000000Z,-6,Intraday 1Hour,395.75,395.75,395.75,395.75
Cc1,CH5,Market Price,2015-01-05T01:00:00.000000000Z,-6,Intraday 1Hour,395.75,398.75,394.5,398.5
Cc1,CH5,Market Price,2015-01-05T02:00:00.000000000Z,-6,Intraday 1Hour,398.5,398.5,397.25,398.0
